Name,North/South,East/West,Gender,Units,Tenants per Unit,Bed,Bath,Contracts,,Year Private,Year Shared,FW Private,FW Shared,FW/Year Dep,FW/Year Non Ref,SS Private,SS Shared,SS Dep,SS Non-Ref,,
Crown Aptsorth,600,455,W,12,6,3,2,Yr FW SpSu Sp Su,,,$330.00 ,,$440.00 ,$250.00 ,$20.00 ,,$175.00 ,$250.00 ,$20.00 ,,
East Cambridge Court ,750,765,W,1,4,2,2,Yr,,,$325.00 ,,,$325.00 ,$100.00 ,,,,,,
East Pointe Apts ,274,500,M W,23,3.5,2,1,Yr,,$375.00 ,$275.00 ,,,$275.00 ,$125.00 ,,,,,,
Fairfax House,691,900,M,2,3.5,2.5,1,Yr,,$425.00 ,$399.00 ,,,$350.00 ,$85.00 ,,,,,,
Fleur-de-Lis Apts  ,275,300,W,15,4,4,2,Yr FW,,$389.00 ,,,,$500.00 ,$75.00 ,,,,,,
Foxwood Apts  ,835,-100,M W,16,5,3,1,Yr,,$350.00 ,$300.00 ,,,$500.00 ,$120.00 ,,,,,,
Foxwood Condos,880,-38,M W,16,5,2.5,2,Yr,,,$400.00 ,,,$500.00 ,$120.00 ,,,,,,
Foxwood Houses,800,-68,M W,5,3,2.5,1,Yr,,$380.00 ,$307.50 ,,,$500.00 ,$120.00 ,,,,,,
"Horman Duplex, up  ",600,557,W,1,4,2,1,Yr FW SpSu,,,,,$355.00 ,,$64.00 ,,$255.00 ,$250.00 ,$32.00 ,,
"Horman Duplex, up, down",600,546,W,2,6,6,2,Yr FW SpSu,,,,,$355.00 ,,$64.00 ,,$255.00 ,$250.00 ,$32.00 ,,
"Horman Duplex, up, down",600,534,W,2,3.5,4,2,Yr FW SpSu,,,,$360.00 ,$350.00 ,,$64.00 ,$260.00 ,$250.00 ,$250.00 ,$32.00 ,,
"Jarman Place, down  ",752,600,M,1,5,3,2,Yr FW SpSu,,,,$385.00 ,,,$64.00 ,$285.00 ,,$350.00 ,$32.00 ,,
"Jarman Place, up  ",750,600,M,1,4,2,1,Yr FW SpSu,,,,$395.00 ,$375.00 ,,$64.00 ,$295.00 ,$275.00 ,$350.00 ,$32.00 ,,
Kensington Condo 1 ,750,788,M,1,4,2,2,FW SpSu,,,,,$385.00 ,,$64.00 ,,$275.00 ,$250.00 ,$32.00 ,,
Kimball Apts ,659,300,W,2,2,2,1,Yr FW SpSu,,,$285.00 ,,$380.00 ,$250.00 ,$40.00 ,,$175.00 ,$250.00 ,$20.00 ,,
Kimball Apts  ,659,300,M,2,5,3,1,Yr FW SpSu,,$340.00 ,$270.00 ,$439.00 ,$362.00 ,$250.00 ,$40.00 ,$215.00 ,$170.00 ,$250.00 ,$20.00 ,,
King Henry Apts  ,450,1130,M W,126,5,3,1.5,Yr SpSu,,,$279.00 ,,,$250.00 ,$120.00 ,$289.00 ,$129.00 ,$250.00 ,$40.00 ,,
La Costa Condos,420,621,M,9,4,4,2,Yr,,,,,,$918.00 ,$105.00 ,,,,,,
Larkspur House,675,900,M,2,3,2,1,Yr,,,$375.00 ,,,$350.00 ,$85.00 ,,,,,,
Liberty on Eighth ,745,100,M W,58,6,3,2,Yr,,,$443.00 ,,,$275.00 ,$100.00 ,,,,,,
Liberty on Freedom  ,865,-160,M W,124,4,2,1,Yr SpSu,,,$330.00 ,,,$275.00 ,$100.00 ,,$150.00 ,$275.00 ,$100.00 ,,
Liberty Square Apts ,556,400,M W,810,4,2,2,Yr,,,$402.50 ,,,$275.00 ,$100.00 ,,,,,,
Linford 1-6  ,700,391,W,6,3,2,1,Yr FW SpSu,,,,$395.00 ,$365.00 ,,$64.00 ,$245.00 ,$225.00 ,$250.00 ,$32.00 ,,
The Lodges at Glenwood,1565,0,M W,196,6,3,2,Yr SpSu,,,$294.00 ,,,$150.00 ,$100.00 ,,$244.00 ,$150.00 ,$100.00 ,,
Manavu ,585,400,M,12,4,2,2,Yr,,,$375.00 ,,,$500.00 ,$120.00 ,,,,,,
Marin House,442,500,M,2,3,3,1,Yr,,$425.00 ,,,,$350.00 ,$85.00 ,,,,,,
Moon Apts  ,680,300,M W,42,4,2,1,Yr FW SpSu,,,$299.00 ,,$399.00 ,$698.00 ,$100.00 ,,$149.00 ,$298.00 ,$100.00 ,,
Moutainwood 218,700,-62,W,1,4,3,2,Yr,,$410.00 ,$370.00 ,,,$500.00 ,$120.00 ,,,,,,
Normas Apts ,700,569,W,4,4,2,2,Yr,,,$320.00 ,,,$320.00 ,$75.00 ,,,,,,
Park Plaza Apts  ,910,900,M,43,4,2,1,Yr,,,$325.00 ,,,$150.00 ,$150.00 ,,,,,,
Raintree Commons,1849,-200,M W,154,6,3,2,Yr SpSu,,,$309.00 ,,,$150.00 ,$100.00 ,,$259.00 ,$150.00 ,$100.00 ,,
Riverside,1525,-550,M,1,3,3,2.5,Yr,,$430.00 ,,,,$400.00 ,$96.00 ,,,,,,
Riverside 20,1541,-550,W,1,3,3,2,Yr,,$380.00 ,,,,$500.00 ,$120.00 ,,,,,,
Riverside 43,1525,-550,M,1,3,3,2,Yr,,$365.00 ,,,,$500.00 ,$120.00 ,,,,,,
Riverside 48,1525,-550,W,1,3,3,2,Yr,,$380.00 ,,,,$500.00 ,$120.00 ,,,,,,
Riviera Apts  ,1505,150,M W,137,4,2,2,Yr,,,$359.00 ,,,$150.00 ,$100.00 ,,,,,,
Santa Fe Aptsast,802,700,M,8,4,2,2,Yr,,,$355.00 ,,,$710.00 ,$105.00 ,,,,,,
Sherwood House,631,300,W,2,4,2,1,Yr SpSu,,,$292.50 ,,,$500.00 ,$120.00 ,,,,,,
SingleTree ,820,832,W,12,4,3,2,Yr,,$370.00 ,$340.00 ,,,$355.00 ,$75.00 ,,,,,,
Sleepy Hollow House,700,274,M,2,3,2.5,1,Yr,,$425.00 ,$399.00 ,,,$150.00 ,$85.00 ,,,,,,
South Downs Condo 4 ,677,700,W,1,4,4,2,FW SpSu,,,,$395.00 ,,,$64.00 ,$295.00 ,,$250.00 ,$32.00 ,,
Sparks II Apts ,450,999,M W,37,5,2.5,1,Yr FW SpSu Sp Su,,,$305.00 ,,$395.00 ,$250.00 ,$40.00 ,,$172.50 ,$250.00 ,$20.00 ,,
Spyglas,737,600,M W,18,4,4,2,Yr,,$445.00 ,,,,$445.00 ,$75.00 ,,,,,,
Stadium Avenue House ,431,431,W,1,4,4,1,Yr SpSu,,,,$295.00 ,,,,$130.00 ,,,,,
Stonebridge 111  ,100,758,W,1,3,3,2,Yr,,$405.00 ,,,,$500.00 ,$120.00 ,,,,,,
Stonebridge 310,820,763,W,1,3,3,2,Yr,,$405.00 ,,,,$500.00 ,$120.00 ,,,,,,
Summer Pointe Apts  ,620,-100,M,12,4,2,1,Yr,,,$290.00 ,,,$275.00 ,$125.00 ,,,,,,
The Taj  ,300,276,M,1,3,2,1,Yr,,$329.00 ,$289.00 ,,,$340.00 ,$75.00 ,,,,,,
Taylor House,245,300,W,1,5,5,2,Yr FW SpSu,,$400.00 ,,$400.00 ,,$200.00 ,,$400.00 ,,$200.00 ,,,
"Timpanogos Gateway, rm A",1969,150,M W,57,3,3,2,Yr,,$380.00 ,,,,$380.00 ,$100.00 ,,,,,,
"Timpanogos Gateway, rm B, C",1969,150,M W,57,3,3,2,Yr,,$410.00 ,,,,$410.00 ,$100.00 ,,,,,,
Trident Spring Tree 57 W ,700,-57,M,6,3,3,2,Yr SpSu,,$345.00 ,,,,$150.00 ,$100.00 ,$299.00 ,,$150.00 ,$100.00 ,,
Trident Winfield,356,200,M,12,4,2,1,Yr SpSu,,,$310.00 ,,,$150.00 ,$100.00 ,,$199.00 ,$150.00 ,$100.00 ,,
University Avenue Condo ,567,0,M,1,4,4,2,Yr,,$410.00 ,,,,$500.00 ,$120.00 ,,,,,,
University Avenue Condos 567,591,0,M W,2,4,4,2,Yr,,$410.00 ,,,,$500.00 ,$120.00 ,,,,,,
Villa ,700,531,W,1,6,4,2,Yr,,$335.00 ,$235.00 ,,,$200.00 ,$50.00 ,$285.00 ,$185.00 ,$200.00 ,$50.00 ,,
Village at South Campus ,600,602,M W,236,4,4,2,Yr,,$440.00 ,,,,$250.00 ,$100.00 ,,,,,,
Windsor Park ,1230,-142,M W,2,3,3,2,Yr,,$410.00 ,,,,$410.00 ,$100.00 ,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
