Name,North/South,East/West,Gender,Units,Tenants,Bed,Bath,Contracts,FW Dep,Nonref FW,Private FW,Shared FW,SS Dep,SS NonRef,SS Private,SS Shared,,,
Single Tree,832,-820,F,12,4,3,2,,$275.00 ,$30.00 ,$290.00 ,$260.00 ,$275.00 ,$15.00 ,$290.00 ,$260.00 ,,,
Sparks II Apts.,450,999,M F,37,5,2.5,1.5,,$200.00 ,$24.00 ,,$232.50 ,$100.00 ,$12.00 ,,$104.50 ,,,
Springtree Apts.,700,-57,M,6,3,3,2,,$200.00 ,$40.00 ,$262.50 ,,$200.00 ,$40.00 ,$142.50 ,,,,
Spyglas,737,600,M F,18,4,4,2,,$375.00 ,$30.00 ,$375.00 ,,$250.00 ,$15.00 ,$250.00 ,,,,
Stadium Terrace,1960,150,M F,44,5,2.5,1.5,,$150.00 ,$30.00 ,,$225.00 ,$150.00 ,$15.00 ,$99.00 ,$79.00 ,,,
Stonebridge,820,761,F,1,3,2,1,,$200.00 ,$60.00 ,$290.00 ,$275.00 ,$200.00 ,$30.00 ,$150.00 ,$140.00 ,,,
Stonebridge,820,761,F,1,3,2,1,,$200.00 ,$60.00 ,$290.00 ,$275.00 ,$200.00 ,$30.00 ,$150.00 ,$140.00 ,,,
Summerhayes,610,-100,M,12,3.5,2,1,,$200.00 ,$40.00 ,$279.00 ,$207.00 ,$200.00 ,$20.00 ,$179.00 ,$105.00 ,,,
Tanner Apts.,400,139,M,9,6,3,2,,$199.00 ,,,$299.00 ,$95.00 ,,,$95.00 ,,,
University Park Apts.,700,225,M,12,6,3,2,,$175.00 ,$30.00 ,,$230.00 ,$105.00 ,$15.00 ,$155.00 ,$105.00 ,,,
University Villa Apts.,865,-160,M F,124,4,2,1,,,,,$225.00 ,,,$160.00 ,$109.00 ,,,
West Cambridge,788,700,M,12,4,2,2,,$200.00 ,$60.00 ,,$270.00 ,$200.00 ,$30.00 ,,$150.00 ,,,
West Cambridge,788,700,M,12,4,2,2,,$200.00 ,$60.00 ,,$275.00 ,$200.00 ,$30.00 ,,$150.00 ,,,
9th East Duplex,1418,900,F,2,4,3,1,,$250.00 ,$27.00 ,$292.50 ,$275.00 ,$100.00 ,$27.00 ,$162.50 ,$125.00 ,,,
Belles & Beaux's Duplex,600,535,F,2,4,2,1,,$50.00 ,$27.00 ,,$195.00 ,$50.00 ,$27.00 ,,$115.00 ,,,
Belles & Beaux's Duplex,600,547,F,2,6,3,1,,$200.00 ,$27.00 ,,$225.00 ,$100.00 ,$27.00 ,,$125.00 ,,,
Belles & Beaux's Duplex,600,545,F,2,6,3,1,,$200.00 ,$27.00 ,,$235.00 ,$100.00 ,$27.00 ,,$135.00 ,,,
Belles & Beaux's Duplex,600,557,F,2,4,2,1,,$200.00 ,$27.00 ,,$235.00 ,$100.00 ,$27.00 ,,$135.00 ,,,
Belles & Beaux's Duplex,600,533,F,2,4,2,1,,$200.00 ,$27.00 ,,$245.00 ,$100.00 ,$27.00 ,,$145.00 ,,,
Capri,630,100,M,1,4,2,1,,$200.00 ,$40.00 ,,$252.50 ,$200.00 ,$40.00 ,,$127.50 ,,,
Chalet Chocolat,400,515,F,3,3,3,2,,$250.00 ,,$350.00 ,,$250.00 ,,$250.00 ,,,,
Chandell,896,50,F,2,4,2,2.5,,$200.00 ,$30.00 ,,$305.00 ,$200.00 ,$30.00 ,,$205.00 ,,,
Continental Properties,,,M F,2,3.5,2.5,1.5,,$200.00 ,$40.00 ,$254.50 ,$207.00 ,$200.00 ,$20.00 ,$147.00 ,$105.00 ,,,
"Cottage, The",590,900,F,1,6,4,2,,$200.00 ,,$260.00 ,$215.00 ,$200.00 ,,$255.00 ,$150.00 ,,,
Crane Home,542,100,M,1,6,5,2,,$250.00 ,$27.00 ,$295.00 ,$275.00 ,$150.00 ,$27.00 ,$195.00 ,$275.00 ,,,
D & C Duplex,732,400,F,2,4,3,2,,$200.00 ,$30.00 ,$270.00 ,$255.00 ,$200.00 ,$30.00 ,$160.00 ,$130.00 ,,,
Don Jones Duplex,450,1060,M,2,3,3,1.5,,$200.00 ,$20.00 ,$285.00 ,,$200.00 ,$20.00 ,$170.00 ,,,,
Frey Townhouse,621,-1100,M,2,4,4,2,,$200.00 ,$40.00 ,$282.50 ,,$200.00 ,$40.00 ,$157.50 ,,,,
Frey Townhouse,634,1100,F,2,4,4,2,,$200.00 ,$40.00 ,$282.50 ,,$200.00 ,$40.00 ,$157.50 ,,,,
Gilbert Townhouse,342,300,M,2,5,3,1,,$200.00 ,$40.00 ,$270.00 ,$240.00 ,$200.00 ,$40.00 ,$152.50 ,$150.00 ,,,
Greer 2,1925,-643,M,1,5,5,2,,$200.00 ,$40.00 ,$270.00 ,,$200.00 ,$40.00 ,$172.50 ,,,,
Greer 3,1732,-350,M,1,6,5,2,,$200.00 ,$40.00 ,$282.50 ,,$200.00 ,$40.00 ,$172.50 ,$172.50 ,,,
Greer Townhouse,2043,-650,F,2,6,4,3,,$200.00 ,$30.00 ,$310.00 ,,$200.00 ,$30.00 ,,$185.00 ,,,
Grow Duplex,690,0,F,2,4,2.5,1,,$200.00 ,$40.00 ,$247.50 ,,$200.00 ,$40.00 ,$182.50 ,$112.50 ,,,
Hendricks Duplex,731,1250,F,2,3,3,2,,$200.00 ,$30.00 ,$320.00 ,,$200.00 ,$30.00 ,$195.00 ,,,,
Hendricks Duplex,500,144,M,2,5,4,1,,$200.00 ,$40.00 ,,$287.50 ,$200.00 ,$40.00 ,,$147.50 ,,,
Lowe's Duplex,1963,-650,F,2,2,4,4,,$250.00 ,$27.00 ,$275.00 ,,$150.00 ,$27.00 ,$150.00 ,,,,
Lowe's Duplex,1986,-650,F,2,2,4,4,,$250.00 ,$27.00 ,$275.00 ,,$150.00 ,$27.00 ,$150.00 ,,,,
McGee Triplex,675,0,M,3,4,3,1,,$200.00 ,$40.00 ,$212.50 ,$207.50 ,$200.00 ,$40.00 ,$152.50 ,$107.50 ,,,
Melville Manor,700,652,F,2,6,6,2,,$250.00 ,$27.00 ,$295.00 ,,$100.00 ,$27.00 ,$195.00 ,,,,
Melville Manor,700,654,F,2,6,6,2,,$250.00 ,$27.00 ,$325.00 ,,$100.00 ,$27.00 ,$225.00 ,,,,
New Horizons 756,700,756,F,1,3,3,1,,$200.00 ,$40.00 ,$277.50 ,,$200.00 ,$40.00 ,$177.50 ,,,,
New Horizons 784,700,784,F,1,4,4,2,,$200.00 ,$40.00 ,$203.50 ,,$200.00 ,$40.00 ,$202.50 ,,,,
New Horizons Duplexes,700,700,M,2,5,5,1,,$200.00 ,$40.00 ,$267.50 ,,$200.00 ,$40.00 ,$137.50 ,,,,
Norma's Apts.,700,569,F,4,4,2,2,,$250.00 ,$30.00 ,,$250.00 ,$115.00 ,$15.00 ,,$115.00 ,,,
Pioneer,880,-80,F,1,3,3,1,,$300.00 ,$50.00 ,$325.00 ,,$150.00 ,$50.00 ,$175.00 ,,,,
Severson Duplex,598,700,M,1,5,5,2,,$200.00 ,$40.00 ,$287.50 ,,$200.00 ,$40.00 ,$162.50 ,,,,
Silver Shadows,1993,-700,F,2,4,4,2,,325-240,$16.00 ,$282.50 ,,$207.50 ,$8.00 ,$157.50 ,,,,
Stewart Duplex,358,300,M,1,4,2,1,,$200.00 ,$40.00 ,$262.50 ,$242.50 ,$200.00 ,$40.00 ,$142.50 ,$122.50 ,,,
Stong Duplex,1720,-486,M,2,4,5,2,,$200.00 ,$60.00 ,$272.50 ,,$200.00 ,$30.00 ,$157.50 ,,,,
Stong Duplex,1720,-488,M,2,4,5,2,,$200.00 ,$60.00 ,$272.50 ,,$200.00 ,$30.00 ,$157.50 ,,,,
Swood Duplex,630,300,F,2,4,2,1,,$200.00 ,$30.00 ,,$242.50 ,$200.00 ,$30.00 ,,$122.50 ,,,
TJ Student Rentals,1955,-700,M,2,4,4,2,,$200.00 ,,$265.00 ,$150.00 ,$200.00 ,$165.00 ,,$110.00 ,,,
University House 1,760,0,M,2,6,4,1,,$200.00 ,$30.00 ,$295.00 ,$257.50 ,$200.00 ,$30.00 ,$207.50 ,$200.00 ,,,
Victorian on 300 E,-255,300,M,3,3,3,1,,$200.00 ,,$250.00 ,,$200.00 ,,$200.00 ,,,,
Warcup Houses,75,700,F,2,6,6,2.5,,$200.00 ,$25.00 ,,,$200.00 ,$25.00 ,,,,,
Weber Duplex 1,646,400,F,1,3,3,1,,$200.00 ,$30.00 ,$250.00 ,,$200.00 ,$30.00 ,$150.00 ,,,,
Weber Duplex,1976,-650,F,2,4,4,2,,$200.00 ,$30.00 ,$285.00 ,,$200.00 ,$30.00 ,$152.50 ,,,,
Westwind Apts.,194,400,F,1,3,3,1,,$200.00 ,$30.00 ,$250.00 ,,$200.00 ,,$150.00 ,,,,
White Gable Apts.,897,150,F,1,3,3,1,,$200.00 ,,$239.00 ,$239.00 ,$200.00 ,,$129.00 ,$129.00 ,,,
Wood Home,720,600,M,1,3.5,3.5,1,,$200.00 ,$40.00 ,$282.50 ,,$200.00 ,$40.00 ,$182.50 ,,,,
Academy,639,0,F,14,3,2,2,,$200.00 ,$30.00 ,$300.00 ,$230.00 ,$200.00 ,$30.00 ,$150.00 ,$100.00 ,,,
Academy Condos #13,639,0,F,1,3,2,2,,$250.00 ,,$300.00 ,$260.00 ,$150.00 ,,$130.00 ,$105.00 ,,,
Andergaard Condo,639,0,F,12,3,2,2,,$274.50 ,$24.00 ,$299.00 ,$250.00 ,$140.00 ,$12.00 ,$150.00 ,$130.00 ,,,
Aretta Gardens,556,300,M F,1,4,2.5,3,,$200.00 ,$30.00 ,$365.00 ,$305.00 ,$200.00 ,$30.00 ,$250.00 ,$200.00 ,,,
Avenues,842.5,0,F,1,4,4,2,,$200.00 ,$30.00 ,$337.50 ,,$200.00 ,$30.00 ,$222.50 ,,,,
Avenues,836,0,M,1,4,4,2,,$200.00 ,$40.00 ,$347.50 ,,$200.00 ,$40.00 ,$217.50 ,,,,
"Avenues, The",836,0,M F,36,4,4,2,,$250.00 ,$25.00 ,$350.00 ,,$250.00 ,$25.00 ,$250.00 ,,,,
Baywood,300,-72,F,12,4,4,2,,$200.00 ,$30.00 ,$305.00 ,,$200.00 ,$30.00 ,$205.00 ,,,,
Baywood,300,-72,F,12,4,4,2,,$250.00 ,$25.00 ,$300.00 ,,$250.00 ,$25.00 ,$200.00 ,,,,
Belmont,450,1200,M F,200,3,3,2,,$250.00 ,$25.00 ,$350.00 ,,$250.00 ,$25.00 ,$250.00 ,,,,
Belmont #334,331,1250,M,1,3,3,2,,$200.00 ,$40.00 ,$355.00 ,,$200.00 ,$40.00 ,$215.00 ,,,,
Ben Dick Arms,700,151,F,1,3,2,1,,$200.00 ,$30.00 ,$287.50 ,$262.50 ,$200.00 ,$30.00 ,$162.50 ,$137.50 ,,,
Ben Dick Arms,700,151,F,1,4,2,1,,$275.00 ,$30.00 ,$300.00 ,$250.00 ,$200.00 ,$15.00 ,$200.00 ,$150.00 ,,,
Ben Dick Arms,700,151,F,24,3,2,1,,$250.00 ,$20.00 ,$320.00 ,$285.00 ,$250.00 ,$20.00 ,$220.00 ,$185.00 ,,,
Ben Dick Arms (BDA),700,151,F,2,3,2,1,,$250.00 ,$27.00 ,$295.00 ,$265.00 ,$100.00 ,$27.00 ,$145.00 ,$125.00 ,,,
Ben Dick Arms (BDA),700,151,F,2,3,2,1,,$250.00 ,$27.00 ,$295.00 ,$265.00 ,$100.00 ,$27.00 ,$145.00 ,$125.00 ,,,
Ben Dick Arms (BDA),700,161,F,36,6,3,2,,$250.00 ,$27.00 ,$295.00 ,$265.00 ,$100.00 ,$27.00 ,$145.00 ,$125.00 ,,,
Brownstone,450,1080,F,36,6,3,2,,$200.00 ,$20.00 ,,$225.00 ,$200.00 ,$20.00 ,,$99.00 ,,,
Cambridge Condo,788,700,M,1,4,2,2,,$250.00 ,$27.00 ,,$290.00 ,$150.00 ,$27.00 ,,$185.00 ,,,
Campus View,722,200,F,1,4,4,3,,$200.00 ,$30.00 ,$362.50 ,,$200.00 ,$30.00 ,$262.50 ,,,,
Campus View North,746,200,F,1,4,4,2,,$250.00 ,$25.00 ,$330.00 ,,$250.00 ,$25.00 ,$250.00 ,,,,
Canterwood,933,0,M F,16,3,3,2,,$250.00 ,$25.00 ,$335.00 ,,$250.00 ,$25.00 ,$250.00 ,,,,
Castille,419,500,M,1,3,2,1,,$200.00 ,$40.00 ,$263.50 ,$292.50 ,$250.00 ,$40.00 ,$227.50 ,$172.50 ,,,
Chandell,892,50,F,9,4,2.5,2.5,,$250.00 ,$25.00 ,$325.00 ,$310.00 ,$250.00 ,$25.00 ,$225.00 ,$210.00 ,,,
Chandell,896,50,F,1,4,2,2.5,,$200.00 ,$30.00 ,,$310.00 ,$200.00 ,$30.00 ,,$205.00 ,,,
Chathamtowne,952,900,M F,44,4,2.5,2.5,,$250.00 ,$30.00 ,$390.00 ,$315.00 ,$250.00 ,$30.00 ,$290.00 ,$215.00 ,,,
Chatsworth,680,100,M F,1,4,2,2,,$200.00 ,$30.00 ,$332.50 ,$315.00 ,$200.00 ,$30.00 ,$232.50 ,$207.50 ,,,
Chatsworth,681,100,M,1,4,2,2,,$200.00 ,$40.00 ,,$302.50 ,$200.00 ,$40.00 ,,$150.00 ,,,
Chatsworth,681,50,F,1,4,2,2.5,,$250.00 ,$30.00 ,,$310.00 ,$250.00 ,$30.00 ,,$210.00 ,,,
Chelsea,611,700,F,1,3,2,2,,$250.00 ,$25.00 ,$340.00 ,$300.00 ,$150.00 ,$25.00 ,$240.00 ,$200.00 ,,,
Courtside,948,50,F,1,4,2,2,,$200.00 ,$30.00 ,,$272.50 ,$200.00 ,$30.00 ,,$150.00 ,,,
Courtside,948,50,F,1,4,2,2,,$200.00 ,$20.00 ,,$305.00 ,$200.00 ,$20.00 ,,$200.00 ,,,
Devonshire,700,34,M,18,4,2,2,,$250.00 ,$20.00 ,,$300.00 ,$250.00 ,$20.00 ,,$200.00 ,,,
East Cambridge,750,765,F,12,4,2,2,,$250.00 ,$20.00 ,,$300.00 ,$250.00 ,$20.00 ,,$200.00 ,,,
Enclave,642,200,F,1,4,4,2,,$350.00 ,$22.50 ,$350.00 ,,$250.00 ,$22.50 ,$250.00 ,,,,
Enclave Condo,642,200,M,1,4,4,2,,$250.00 ,$27.00 ,$325.00 ,,$150.00 ,$27.00 ,$225.00 ,,,,
Enclave Village,642,200,M F,36,4,4,2,,$250.00 ,$25.00 ,$250.00 ,,$250.00 ,$25.00 ,$275.00 ,,,,
Evergreen Condo,-45,850,M,1,3,3,2,,$250.00 ,$27.00 ,$290.00 ,,$100.00 ,$27.00 ,$182.50 ,,,,
Foxwood Condos,880,-38,M F,16,5,2.5,2,,$300.00 ,$50.00 ,,$332.50 ,$150.00 ,,,$162.50 ,,,
